name,appearance,atomic_mass,boil,category,density,discovered_by,melt,molar_heat,named_by,number,period,group,phase,source,bohr_model_image,bohr_model_3d,spectral_img,summary,symbol,xpos,ypos,wxpos,wypos,shells,electron_configuration,electron_configuration_semantic,electron_affinity,electronegativity_pauling,ionization_energies,cpk-hex,block,image.title,image.url,image.attribution
Cadmium,silvery bluish-gray metallic,112.4144,1040.0,transition metal,8.65,Karl Samuel Leberecht Hermann,594.22,26.02,Isotopes of cadmium,48,5,12,Solid,https://en.wikipedia.org/wiki/Cadmium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_048_cadmium/element_048_cadmium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_048_cadmium/element_048_cadmium.glb,,"Cadmium is a chemical element with symbol Cd and atomic number 48. This soft, bluish-white metal is chemically similar to the two other stable metals in group 12, zinc and mercury. Like zinc, it prefers oxidation state +2 in most of its compounds and like mercury it shows a low melting point compared to transition metals.",Cd,12,5,26,5,"[2, 8, 18, 18, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10,[Kr] 4d10 5s2,-68.0,1.69,"[867.8, 1631.4, 3616]",ffd98f,d,48 Cd Cadmium,https://images-of-elements.com/cadmium-4.jpg,"Chemical Elments A Virtual Museum under a Creative Commons Attribution 3.0 Unported License, source: https://images-of-elements.com/cadmium.php"
Indium,silvery lustrous gray,114.8181,2345.0,post-transition metal,7.31,Ferdinand Reich,429.7485,26.74,,49,5,13,Solid,https://en.wikipedia.org/wiki/Indium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_049_indium/element_049_indium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_049_indium/element_049_indium.glb,,"Indium is a chemical element with symbol In and atomic number 49. It is a post-transition metallic element that is rare in Earth's crust. The metal is very soft, malleable and easily fusible, with a melting point higher than sodium, but lower than lithium or tin.",In,13,5,27,5,"[2, 8, 18, 18, 3]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p1,[Kr] 4d10 5s2 5p1,37.043,1.78,"[558.3, 1820.7, 2704, 5210]",a67573,p,1.5 x 1.5 cm liquid indium,https://images-of-elements.com/indium-2.jpg,"Jurii, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: http://images-of-elements.com/indium.php"
Tin,"silvery-white (beta, β) or gray (alpha, α)",118.7107,2875.0,post-transition metal,7.365,"unknown, before 3500 BC",505.08,27.112,,50,5,14,Solid,https://en.wikipedia.org/wiki/Tin,https://storage.googleapis.com/search-ar-edu/periodic-table/element_050_tin/element_050_tin_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_050_tin/element_050_tin.glb,,"Tin is a chemical element with the symbol Sn (for Latin:stannum) and atomic number 50. It is a main group metal in group 14 of the periodic table. Tin shows a chemical similarity to both neighboring group-14 elements, germanium and lead, and has two possible oxidation states, +2 and the slightly more stable +4.",Sn,14,5,28,5,"[2, 8, 18, 18, 4]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p2,[Kr] 4d10 5s2 5p2,107.2984,1.96,"[708.6, 1411.8, 2943, 3930.3, 7456]",668080,p,Tin blob,https://upload.wikimedia.org/wikipedia/commons/6/6a/Tin-2.jpg,"Jurii, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: http://images-of-elements.com/tin.php"
Antimony,silvery lustrous gray,121.7601,1908.0,metalloid,6.697,"unknown, before 3000 BC",903.78,25.23,,51,5,15,Solid,https://en.wikipedia.org/wiki/Antimony,https://storage.googleapis.com/search-ar-edu/periodic-table/element_051_antimony/element_051_antimony_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_051_antimony/element_051_antimony.glb,,"Antimony is a chemical element with symbol Sb (from Latin:stibium) and atomic number 51. A lustrous gray metalloid, it is found in nature mainly as the sulfide mineral stibnite (Sb2S3). Antimony compounds have been known since ancient times and were used for cosmetics; metallic antimony was also known, but it was erroneously identified as lead upon its discovery.",Sb,15,5,29,5,"[2, 8, 18, 18, 5]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p3,[Kr] 4d10 5s2 5p3,101.059,2.05,"[834, 1594.9, 2440, 4260, 5400, 10400]",9e63b5,p,"Antimony crystal, 2 grams, 1 cm",https://upload.wikimedia.org/wikipedia/commons/5/5c/Antimony-4.jpg,"Unknown authorUnknown author, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/antimony.php"
Tellurium,,127.603,1261.0,metalloid,6.24,Franz-Joseph Müller von Reichenstein,722.66,25.73,,52,5,16,Solid,https://en.wikipedia.org/wiki/Tellurium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_052_tellurium/element_052_tellurium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_052_tellurium/element_052_tellurium.glb,,"Tellurium is a chemical element with symbol Te and atomic number 52. It is a brittle, mildly toxic, rare, silver-white metalloid. Tellurium is chemically related to selenium and sulfur.",Te,16,5,30,5,"[2, 8, 18, 18, 6]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p4,[Kr] 4d10 5s2 5p4,190.161,2.1,"[869.3, 1790, 2698, 3610, 5668, 6820, 13200]",d47a00,p,"Metallic tellurium, diameter 3.5 cm",https://upload.wikimedia.org/wikipedia/commons/c/c1/Tellurium2.jpg,"Unknown authorUnknown author, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/tellurium.php"
Iodine,"lustrous metallic gray, violet as a gas",126.904473,457.4,diatomic nonmetal,4.933,Bernard Courtois,386.85,,,53,5,17,Solid,https://en.wikipedia.org/wiki/Iodine,https://storage.googleapis.com/search-ar-edu/periodic-table/element_053_iodine/element_053_iodine_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_053_iodine/element_053_iodine.glb,,"Iodine is a chemical element with symbol I and atomic number 53. The name is from Greek ἰοειδής ioeidēs, meaning violet or purple, due to the color of iodine vapor. Iodine and its compounds are primarily used in nutrition, and industrially in the production of acetic acid and certain polymers.",I,17,5,31,5,"[2, 8, 18, 18, 7]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p5,[Kr] 4d10 5s2 5p5,295.1531,2.66,"[1008.4, 1845.9, 3180]",940094,p,Iodine Sample,https://upload.wikimedia.org/wikipedia/commons/c/c2/Iodine-sample.jpg,"Benjah-bmm27, Public domain, via Wikimedia Commons"
Xenon,"colorless gas, exhibiting a blue glow when placed in a high voltage electric field",131.2936,165.051,noble gas,5.894,William Ramsay,161.4,,,54,5,18,Gas,https://en.wikipedia.org/wiki/Xenon,https://storage.googleapis.com/search-ar-edu/periodic-table/element_054_xenon/element_054_xenon_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_054_xenon/element_054_xenon.glb,https://en.wikipedia.org/wiki/File:Xenon_Spectrum.jpg,"Xenon is a chemical element with symbol Xe and atomic number 54. It is a colorless, dense, odorless noble gas, that occurs in the Earth's atmosphere in trace amounts. Although generally unreactive, xenon can undergo a few chemical reactions such as the formation of xenon hexafluoroplatinate, the first noble gas compound to be synthesized.",Xe,18,5,32,5,"[2, 8, 18, 18, 8]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6,[Kr] 4d10 5s2 5p6,-77.0,2.6,"[1170.4, 2046.4, 3099.4]",429eb0,p,Vial of glowing ultrapure xenon. Original size in cm: 1 x 5,https://upload.wikimedia.org/wikipedia/commons/5/5d/Xenon-glow.jpg,"Jurii, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/xenon.php"
Cesium,silvery gold,132.905451966,944.0,alkali metal,1.93,Robert Bunsen,301.7,32.21,,55,6,1,Solid,https://en.wikipedia.org/wiki/Cesium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_055_cesium/element_055_cesium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_055_cesium/element_055_cesium.glb,,"Caesium or cesium is a chemical element with symbol Cs and atomic number 55. It is a soft, silvery-gold alkali metal with a melting point of 28 °C (82 °F), which makes it one of only five elemental metals that are liquid at or near room temperature. Caesium is an alkali metal and has physical and chemical properties similar to those of rubidium and potassium.",Cs,1,6,1,6,"[2, 8, 18, 18, 8, 1]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s1,[Xe] 6s1,45.505,0.79,"[375.7, 2234.3, 3400]",57178f,s,Cesium/Caesium metal,https://upload.wikimedia.org/wikipedia/commons/3/3d/Cesium.jpg,"Dnn87 Contact email: Dnn87yahoo.dk, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons"
Barium,,137.3277,2118.0,alkaline earth metal,3.51,Carl Wilhelm Scheele,1000.0,28.07,,56,6,2,Solid,https://en.wikipedia.org/wiki/Barium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_056_barium/element_056_barium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_056_barium/element_056_barium.glb,,"Barium is a chemical element with symbol Ba and atomic number 56. It is the fifth element in Group 2, a soft silvery metallic alkaline earth metal. Because of its high chemical reactivity barium is never found in nature as a free element.",Ba,2,6,2,6,"[2, 8, 18, 18, 8, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2,[Xe] 6s2,13.954,0.89,"[502.9, 965.2, 3600]",00c900,s,1.5 Grams Barium with a Grey Oxide Layer under Argon. Original size in cm: 0.7 x 1,https://upload.wikimedia.org/wikipedia/commons/f/f5/Barium_%2856_Ba%29.jpg,"Hi-Res Images ofChemical Elements, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/barium.php"
Lanthanum,silvery white,138.905477,3737.0,lanthanide,6.162,Carl Gustaf Mosander,1193.0,27.11,,57,6,3,Solid,https://en.wikipedia.org/wiki/Lanthanum,https://storage.googleapis.com/search-ar-edu/periodic-table/element_057_lanthanum/element_057_lanthanum_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_057_lanthanum/element_057_lanthanum.glb,,"Lanthanum is a soft, ductile, silvery-white metallic chemical element with symbol La and atomic number 57. It tarnishes rapidly when exposed to air and is soft enough to be cut with a knife. It gave its name to the lanthanide series, a group of 15 similar elements between lanthanum and lutetium in the periodic table:it is also sometimes considered the first element of the 6th-period transition metals.",La,3,9,3,6,"[2, 8, 18, 18, 9, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 5d1,[Xe] 5d16s2,53.0,1.1,"[538.1, 1067, 1850.3, 4819, 5940]",70d4ff,f,1 cm Big Piece of Pure Lanthanum,https://upload.wikimedia.org/wikipedia/commons/f/f7/Lanthanum.jpg,"Jurii, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/lanthanum.php"
Cerium,silvery white,140.1161,3716.0,lanthanide,6.77,Martin Heinrich Klaproth,1068.0,26.94,,58,6,3,Solid,https://en.wikipedia.org/wiki/Cerium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_058_cerium/element_058_cerium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_058_cerium/element_058_cerium.glb,,"Cerium is a chemical element with symbol Ce and atomic number 58. It is a soft, silvery, ductile metal which easily oxidizes in air. Cerium was named after the dwarf planet Ceres (itself named after the Roman goddess of agriculture).",Ce,4,9,4,6,"[2, 8, 18, 19, 9, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 5d1 4f1,[Xe] 4f1 5d1 6s2,55.0,1.12,"[534.4, 1050, 1949, 3547, 6325, 7490]",ffffc7,f,"Ultrapure Cerium under Argon, 1.5 grams. Original size in cm: 1 x 1",https://upload.wikimedia.org/wikipedia/commons/0/0d/Cerium2.jpg,"Jurii, CC BY 1.0 <https://creativecommons.org/licenses/by/1.0>, via Wikimedia Commons, source: https://images-of-elements.com/cerium.php"
Praseodymium,grayish white,140.907662,3403.0,lanthanide,6.77,Carl Auer von Welsbach,1208.0,27.2,,59,6,3,Solid,https://en.wikipedia.org/wiki/Praseodymium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_059_praseodymium/element_059_praseodymium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_059_praseodymium/element_059_praseodymium.glb,,"Praseodymium is a chemical element with symbol Pr and atomic number 59. Praseodymium is a soft, silvery, malleable and ductile metal in the lanthanide group. It is valued for its magnetic, electrical, chemical, and optical properties.",Pr,5,9,5,6,"[2, 8, 18, 21, 8, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f3,[Xe] 4f3 6s2,93.0,1.13,"[527, 1020, 2086, 3761, 5551]",d9ffc7,f,"1.5 Grams Praseodymium under Argon, 0.5 cm big pieces",https://upload.wikimedia.org/wikipedia/commons/c/c7/Praseodymium.jpg,"Jurii, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/praseodymium.php"
Neodymium,silvery white,144.2423,3347.0,lanthanide,7.01,Carl Auer von Welsbach,1297.0,27.45,,60,6,3,Solid,https://en.wikipedia.org/wiki/Neodymium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_060_neodymium/element_060_neodymium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_060_neodymium/element_060_neodymium.glb,,Neodymium is a chemical element with symbol Nd and atomic number 60. It is a soft silvery metal that tarnishes in air. Neodymium was discovered in 1885 by the Austrian chemist Carl Auer von Welsbach.,Nd,6,9,6,6,"[2, 8, 18, 22, 8, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f4,[Xe] 4f4 6s2,184.87,1.14,"[533.1, 1040, 2130, 3900]",c7ffc7,f,"Ultrapure Neodymium under Argon, 5 grams. Original length of the large piece in cm: 1",https://upload.wikimedia.org/wikipedia/commons/c/c9/Neodymium_%2860_Nd%29.jpg,"Hi-Res Images ofChemical Elements, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/neodymium.php"
Promethium,metallic,145.0,3273.0,lanthanide,7.26,Chien Shiung Wu,1315.0,,Isotopes of promethium,61,6,3,Solid,https://en.wikipedia.org/wiki/Promethium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_061_promethium/element_061_promethium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_061_promethium/element_061_promethium.glb,,"Promethium, originally prometheum, is a chemical element with the symbol Pm and atomic number 61. All of its isotopes are radioactive; it is one of only two such elements that are followed in the periodic table by elements with stable forms, a distinction shared with technetium. Chemically, promethium is a lanthanide, which forms salts when combined with other elements.",Pm,7,9,7,6,"[2, 8, 18, 23, 8, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f5,[Xe] 4f5 6s2,12.45,1.13,"[540, 1050, 2150, 3970]",a3ffc7,f,Photomontage of what promethium metal might look like (it is too radioactive and real images are not available),https://upload.wikimedia.org/wikipedia/commons/5/5b/Promethium.jpg,"Unknown authorUnknown author, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/promethium.php"
Samarium,silvery white,150.362,2173.0,lanthanide,7.52,Lecoq de Boisbaudran,1345.0,29.54,,62,6,3,Solid,https://en.wikipedia.org/wiki/Samarium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_062_samarium/element_062_samarium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_062_samarium/element_062_samarium.glb,,"Samarium is a chemical element with symbol Sm and atomic number 62. It is a moderately hard silvery metal that readily oxidizes in air. Being a typical member of the lanthanide series, samarium usually assumes the oxidation state +3.",Sm,8,9,8,6,"[2, 8, 18, 24, 8, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f6,[Xe] 4f6 6s2,15.63,1.17,"[544.5, 1070, 2260, 3990]",8fffc7,f,"Ultrapure Sublimated Samarium, 2 grams. Original size in cm: 0.8 x 1.5",https://upload.wikimedia.org/wikipedia/commons/8/88/Samarium-2.jpg,"Unknown authorUnknown author, CC BY 1.0 <https://creativecommons.org/licenses/by/1.0>, via Wikimedia Commons, source: https://images-of-elements.com/samarium.php"
Europium,,151.9641,1802.0,lanthanide,5.264,Eugène-Anatole Demarçay,1099.0,27.66,,63,6,3,Solid,https://en.wikipedia.org/wiki/Europium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_063_europium/element_063_europium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_063_europium/element_063_europium.glb,,"Europium is a chemical element with symbol Eu and atomic number 63. It was isolated in 1901 and is named after the continent of Europe. It is a moderately hard, silvery metal which readily oxidizes in air and water.",Eu,9,9,9,6,"[2, 8, 18, 25, 8, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f7,[Xe] 4f7 6s2,11.2,1.2,"[547.1, 1085, 2404, 4120]",61ffc7,f,"Weakly Oxidized Europium, hence slightly yellowish. 1.5 grams, large piece 0.6 x 1.6 cm.",https://upload.wikimedia.org/wikipedia/commons/6/6a/Europium.jpg,"Jurii, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/europium.php"
Gadolinium,silvery white,157.253,3273.0,lanthanide,7.9,Jean Charles Galissard de Marignac,1585.0,37.03,,64,6,3,Solid,https://en.wikipedia.org/wiki/Gadolinium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_064_gadolinium/element_064_gadolinium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_064_gadolinium/element_064_gadolinium.glb,,"Gadolinium is a chemical element with symbol Gd and atomic number 64. It is a silvery-white, malleable and ductile rare-earth metal. It is found in nature only in combined (salt) form.",Gd,10,9,10,6,"[2, 8, 18, 25, 9, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f7 5d1,[Xe] 4f7 5d1 6s2,13.22,1.2,"[593.4, 1170, 1990, 4250]",45ffc7,f,"Pure (99.95%) Amorphous Gadolinium, about 12 grams, 2 × 1.5 × 0.5 cm, cast in acrylic glass",https://upload.wikimedia.org/wikipedia/commons/c/c2/Gadolinium-2.jpg,"Jurii, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/gadolinium.php"
Terbium,silvery white,158.925352,3396.0,lanthanide,8.23,Carl Gustaf Mosander,1629.0,28.91,,65,6,3,Solid,https://en.wikipedia.org/wiki/Terbium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_065_terbium/element_065_terbium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_065_terbium/element_065_terbium.glb,,"Terbium is a chemical element with symbol Tb and atomic number 65. It is a silvery-white rare earth metal that is malleable, ductile and soft enough to be cut with a knife. Terbium is never found in nature as a free element, but it is contained in many minerals, including cerite, gadolinite, monazite, xenotime and euxenite.",Tb,11,9,11,6,"[2, 8, 18, 27, 8, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f9,[Xe] 4f9 6s2,112.4,1.1,"[565.8, 1110, 2114, 3839]",30ffc7,f,"Pure Terbium, 3 grams. Original size: 1 cm",https://upload.wikimedia.org/wikipedia/commons/9/9a/Terbium-2.jpg,"Unknown authorUnknown author, CC BY 1.0 <https://creativecommons.org/licenses/by/1.0>, via Wikimedia Commons, source: https://images-of-elements.com/terbium.php"
Dysprosium,silvery white,162.5001,2840.0,lanthanide,8.54,Lecoq de Boisbaudran,1680.0,27.7,,66,6,3,Solid,https://en.wikipedia.org/wiki/Dysprosium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_066_dysprosium/element_066_dysprosium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_066_dysprosium/element_066_dysprosium.glb,,"Dysprosium is a chemical element with the symbol Dy and atomic number 66. It is a rare earth element with a metallic silver luster. Dysprosium is never found in nature as a free element, though it is found in various minerals, such as xenotime.",Dy,12,9,12,6,"[2, 8, 18, 28, 8, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f10,[Xe] 4f10 6s2,33.96,1.22,"[573, 1130, 2200, 3990]",1fffc7,f,Pure Dysprosium Dendrites,https://upload.wikimedia.org/wikipedia/commons/5/55/Dysprosium-2.jpg,"Jurii, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/dysprosium.php"
Holmium,silvery white,164.930332,2873.0,lanthanide,8.79,Marc Delafontaine,1734.0,27.15,,67,6,3,Solid,https://en.wikipedia.org/wiki/Holmium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_067_holmium/element_067_holmium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_067_holmium/element_067_holmium.glb,,"Holmium is a chemical element with symbol Ho and atomic number 67. Part of the lanthanide series, holmium is a rare earth element. Holmium was discovered by Swedish chemist Per Theodor Cleve.",Ho,13,9,13,6,"[2, 8, 18, 29, 8, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f11,[Xe] 4f11 6s2,32.61,1.23,"[581, 1140, 2204, 4100]",00ff9c,f,"Ultrapure Holmium, 17 grams. Original size in cm: 1.5 x 2.5",https://upload.wikimedia.org/wikipedia/commons/0/0a/Holmium2.jpg,"Unknown authorUnknown author, CC BY 1.0 <https://creativecommons.org/licenses/by/1.0>, via Wikimedia Commons, source: https://images-of-elements.com/holmium.php"
Erbium,silvery white,167.2593,3141.0,lanthanide,9.066,Carl Gustaf Mosander,1802.0,28.12,,68,6,3,Solid,https://en.wikipedia.org/wiki/Erbium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_068_erbium/element_068_erbium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_068_erbium/element_068_erbium.glb,,"Erbium is a chemical element in the lanthanide series, with symbol Er and atomic number 68. A silvery-white solid metal when artificially isolated, natural erbium is always found in chemical combination with other elements on Earth. As such, it is a rare earth element which is associated with several other rare elements in the mineral gadolinite from Ytterby in Sweden, where yttrium, ytterbium, and terbium were discovered.",Er,14,9,14,6,"[2, 8, 18, 30, 8, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f12,[Xe] 4f12 6s2,30.1,1.24,"[589.3, 1150, 2194, 4120]",00e675,f,"9.5 Gramms Pure Erbium, 2 x 2 cm",https://upload.wikimedia.org/wikipedia/commons/2/2a/Erbium-2.jpg,"Jurii, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/erbium.php"
Thulium,silvery gray,168.934222,2223.0,lanthanide,9.32,Per Teodor Cleve,1818.0,27.03,,69,6,3,Solid,https://en.wikipedia.org/wiki/Thulium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_069_thulium/element_069_thulium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_069_thulium/element_069_thulium.glb,,"Thulium is a chemical element with symbol Tm and atomic number 69. It is the thirteenth and antepenultimate (third-last) element in the lanthanide series. Like the other lanthanides, the most common oxidation state is +3, seen in its oxide, halides and other compounds.",Tm,15,9,15,6,"[2, 8, 18, 31, 8, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f13,[Xe] 4f13 6s2,99.0,1.25,"[596.7, 1160, 2285, 4120]",00d452,f,"Ultrapure (99.997%) Crystalline Thulium, 22.3 grams, 3 × 3 × 2 cm in size",https://upload.wikimedia.org/wikipedia/commons/6/6b/Thulium-2.jpg,"Jurii, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/thulium.php"
Ytterbium,,173.0451,1469.0,lanthanide,6.9,Jean Charles Galissard de Marignac,1097.0,26.74,,70,6,3,Solid,https://en.wikipedia.org/wiki/Ytterbium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_070_ytterbium/element_070_ytterbium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_070_ytterbium/element_070_ytterbium.glb,,"Ytterbium is a chemical element with symbol Yb and atomic number 70. It is the fourteenth and penultimate element in the lanthanide series, which is the basis of the relative stability of its +2 oxidation state. However, like the other lanthanides, its most common oxidation state is +3, seen in its oxide, halides and other compounds.",Yb,16,9,16,6,"[2, 8, 18, 32, 8, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14,[Xe] 4f14 6s2,-1.93,1.1,"[603.4, 1174.8, 2417, 4203]",00bf38,f,"Ytterbium, 0.5 x 1 cm",https://upload.wikimedia.org/wikipedia/commons/c/ce/Ytterbium-3.jpg,"Jurii, CC BY 1.0 <https://creativecommons.org/licenses/by/1.0>, via Wikimedia Commons, source: https://images-of-elements.com/ytterbium.php"
Lutetium,silvery white,174.96681,3675.0,lanthanide,9.841,Georges Urbain,1925.0,26.86,,71,6,3,Solid,https://en.wikipedia.org/wiki/Lutetium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_071_lutetium/element_071_lutetium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_071_lutetium/element_071_lutetium.glb,,"Lutetium is a chemical element with symbol Lu and atomic number 71. It is a silvery white metal, which resists corrosion in dry, but not in moist air. It is considered the first element of the 6th-period transition metals and the last element in the lanthanide series, and is traditionally counted among the rare earths.",Lu,17,9,17,6,"[2, 8, 18, 32, 9, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d1,[Xe] 4f14 5d1 6s2,33.4,1.27,"[523.5, 1340, 2022.3, 4370, 6445]",00ab24,d,1 cm Big Piece of Pure Lutetium,https://upload.wikimedia.org/wikipedia/commons/e/e8/Lutetium.jpg,"Jurii, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/lutetium.php"
